"protein","logFC_pooled","P_pooled","adjP_pooled","logFC_meta","se_meta","p_meta","adjP_meta","I2","re_pi_lb","re_pi_ub","opp_wt_rel","wmax","lo_flip","lo_p_cross","is_candidate","same_sign","RE_PI_zero","high_conf","supported","site_driven","tier","note_hetero"
"Q9H2Y9",-0.00897057529283672,0.765038648444191,0.87512692069452,0.00658293589620762,0.0285725046279956,0.817785561478584,0.817785561478584,51.0314632747757,-0.140303090599211,0.144975439366003,0,0.412247302833086,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","high I2 (magnitude)"
"Q9ULC6",-0.0118641870090142,0.765655674841147,0.875571457879693,-0.0225936325117357,0.0356054547788251,0.525718444019892,0.525718444019892,0,-0.0923808505753693,0.0471938299288885,0,0.373091778320514,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"O95968",0.00805019951584375,0.765786499938399,0.875571457879693,0.00817734888058709,0.0255107386250579,0.748554950940817,0.748554950940817,32.3105906906213,-0.129311643639665,0.114925449862754,0,0.397955177111674,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"Q9H422",0.00416106770051379,0.765911087919795,0.875571457879693,-0.00191943040661312,0.0116265856132258,0.868873320700174,0.868873320700174,59.983335274178,-0.0766455599872808,0.105203392176477,1,0.380754770222807,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,"Background (not evaluated)",NA
"P02760",0.00497790946138563,0.765971858502745,0.875571457879693,0.00292007387156119,0.0142914114017019,0.838100560772316,0.838100560772316,0,-0.0250905777640196,0.0309307255071419,0,0.349978476253146,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"Q9BWV1",-0.0081136897124502,0.766240444513108,0.875722818315941,-0.00472589377034365,0.0252307770766473,0.851420164593627,0.851420164593627,38.6975436764971,-0.130573901088215,0.130841298731171,0,0.525083251322222,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"Q7Z6M3",-0.00690995849578777,0.766635325755859,0.876018439931757,0.0111116797949111,0.0180796531719374,0.538821656287459,0.538821656287459,0,-0.0243237892750616,0.0465471488648837,0,0.579132064423204,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"P22735",0.00925560977118556,0.766876288603332,0.876138108368809,0.00679963465312388,0.0270770385059731,0.801719941728994,0.801719941728994,2.20421977699095,-0.0464224496171341,0.0600527336476018,0,0.406649091154076,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"Q9NR48",0.00942198604276814,0.767225495437664,0.876174813369556,0.0101742595801872,0.0307678746611656,0.740887713816968,0.740887713816968,0,-0.05012966663654,0.0704781857969144,0,0.383674945954247,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"Q96KG7",0.00853932880926913,0.767244415101462,0.876174813369556,0.0165668927421362,0.0280549535825398,0.554844910929334,0.554844910929334,0,-0.0384198058675847,0.0715535913518571,0,0.408463572943217,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"P53701",0.00537919192184173,0.767317143352098,0.876174813369556,0.000526648325058976,0.0165379868047216,0.974595846369622,0.974595846369622,0,-0.0319750462678513,0.0330540156419788,0,0.314153165496449,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"Q5JUR7",0.00639651445789305,0.768054847001412,0.87670635436828,0.0075924241748319,0.0184558522497225,0.680791705100093,0.680791705100093,0,-0.0285803815386166,0.0437652298882804,0,0.435709723027476,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"Q8WWM9",-0.00865412737873273,0.768055294745901,0.87670635436828,-0.000679070990378972,0.0294810851704393,0.981623052636981,0.981623052636981,38.0058068980232,-0.120795634717503,0.134384480191166,1,0.39065443867393,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,"Background (not evaluated)",NA
"Q92886",-0.00703695374136215,0.768318937454848,0.876851656924957,-0.00866105723494758,0.0210961640067229,0.681401591035899,0.681401591035899,0,-0.0518027200173458,0.0340592525699365,0,0.442395269330257,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"Q30KQ9",-0.00665690539675975,0.768940301237134,0.877350601444921,-0.0024555641272686,0.0181064561932294,0.892123154854398,0.892123154854398,0,-0.0379435661536505,0.0330324378991133,0,0.44827501253025,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"Q14324",0.00669464521879636,0.769028975329657,0.877350601444921,0.0101055584075655,0.0211709427995794,0.6331260659791,0.6331260659791,0,-0.0395623703189874,0.0622230774882834,0,0.427134965586668,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"P61328",0.0063950263954258,0.769387189253159,0.877603585329384,0.00294162657656222,0.0217641338273733,0.892485871754671,0.892485871754671,0,-0.0435816464785174,0.0503132779390598,0,0.444971264162872,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"P31937",-0.00890961114584404,0.769801870328394,0.877915774086953,0.00294784076365715,0.0286329521808176,0.91800048283841,0.91800048283841,65.0959723049145,-0.239056083974421,0.272791603695275,0,0.348368863613211,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","high I2 (magnitude)"
"P0CL80",0.00792444406728486,0.769933908544614,0.877915774086953,0.00734586909886196,0.0246778682613408,0.765954793431158,0.765954793431158,0,-0.0410218639085901,0.055713602106314,0,0.372216971282566,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"O00762",0.00998907517990852,0.770195850671163,0.878058768953421,0.00563595042679789,0.0352760328623538,0.873064520148202,0.873064520148202,0,-0.063503803500867,0.0747757043544628,0,0.388607144214868,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
